Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness
2.70833,3.8125,3.45917,3.0625,3.25
3.625,3.25,3.14583,3.16667,3.25
3.47917,3.125,2.97917,3.3125,3.1875
2,3.02083,3.79167,3.5,2.9375
3.27083,3.1875,3.16667,3.85417,2.83333
2.79167,3.6875,3.5,3.375,3.1875
2.76,3.60417,3.97917,3.66667,2.97917
1.89583,3.8125,3.75,2.33333,4.02083
2.33333,3.375,4.20833,4.41667,3.22917
3.25,3.85417,3.83333,3.5625,3.50042
3.85708,3.58333,3.95833,3.29354,2.74125
2.75,3.625,3.22917,3.4375,2.8125
2.85417,3.75,3.27083,3.54167,2.77083
2.54167,3.45833,3.72917,3.52083,3.4375
2.97917,3.22917,3.3125,3.77083,3.4375
2.6875,3.91667,4.16667,3.66667,3.75
3.0625,3.52083,2.875,3,3.75
2.625,3.52083,3.60417,3.54167,2.83667
2.47917,3.77083,3.25,3.83333,2.64583
2.27083,3.5625,3.58333,3.33333,3.08333
2.95833,3.375,3.29167,3.16667,3.29167
2.58625,3.6875,3.35417,3.62688,3.25
3.52083,3.04167,3.35417,3.35417,2.75
2.375,3.08333,3.54167,3.04167,3.70833
2.29167,4.27083,3.75,3.83333,3.625
3.08625,3.33333,3.20833,3.35604,3.60417
2.5625,3.52083,3.66667,3.5,3.5
3.375,3.47438,3.45833,3.50375,2.93125
2.75,3.66667,3.54167,3.16667,3.16667
2.79167,3.16667,3.0625,3.02083,3.0625
2.70833,3.14583,3.625,3.58333,3.77083
3.1875,3.66667,3.58333,2.85417,2.97917
2.5625,3.39583,3.0625,3.9375,3.70833
2.14875,4.02083,3.79167,2.58521,2.75
2.9375,3.60417,4.125,3.70833,3.54167
2.8125,3.625,3.4375,3.27083,3.35417
2.85708,3.72917,3.27083,3.58521,2.8125
3.02083,3.4375,3.16667,3.64583,4.04167
3.47917,3.125,3.5,2.91667,2.77083
2.625,3.29167,3.89583,3.29167,3.25
3.10417,2.97917,4.125,3.27083,2.83812
2.20833,4.08333,3.41667,3.29167,3.75
3.1875,3.16667,3.6875,3.52083,2.83333
2.66667,3.52083,3.5625,3.64583,3.4375
2.73208,3.77083,3.27083,3.16125,2.89583
2.4375,3.45833,3.5,3.8125,3.4375
2.48208,3.5,3.85208,3.25188,2.75
3.6875,3.125,4.17604,4.08333,2.54167
3.60417,3.1875,3.8125,3.5625,3.45833
2.97917,2.6875,3.16667,3.25,2.79167
2.20833,3.6875,3.70833,3.60417,3.67979
3.6875,3.375,3.54167,3.16667,2.89583
2.79167,3,3.3125,3.33333,3.27083
3.33333,3.58333,3.52083,3.55458,3.14583
2.33333,3.20833,3.33333,3.95833,3.89583
2.29167,3.79167,3.39583,3.20833,3.91667
2.64583,4.1875,3.70833,4.02083,2.97917
2.04458,3.27083,4.08333,4.08521,3.39583
2.97917,2.85417,3.0625,3.47917,2.875
2.79167,3.64583,4.1875,3.08333,3.22917
2.70833,3.54167,3.6875,3.77083,3.22917
2.70833,3.41667,3.14583,1.9375,2.97917
2.6875,3.35417,3.04167,3.375,3.1875
3.08333,3.64583,3.375,3.47917,3.8125
2.875,3.91667,3.75,2.97917,2.77083
2.29167,2.85417,4.1875,4.27083,3.1875
3.35417,3.91667,3.47917,3.16667,3.9375
2.45833,4,3.5625,3.5,3.27083
2.70833,3.33333,3.60417,3.45833,3.16667
2.45833,3.5,3.5,3.16667,3.5625
2.75,3.33333,3.64583,3.5625,3.25
2.58333,3.58333,3.22917,3.64583,2.95833
3.5,2.79167,3.1875,3.22917,3.10417
2.67042,3.35417,3.4375,3.37688,3.77083
3.33333,2.8125,2.875,3.04167,3.35417
3.08625,3.04167,3.89583,3.58521,3.4375
2.75,3.39583,3.5,3.52083,3.39583
2.79167,3.52083,3.45833,3.625,3.22917
2.41667,3.54167,3.54167,3.54167,2.75
2.58333,3.77083,3.89583,3.3125,3.29167
3.3125,3.29167,3.77083,3.97917,3.14583
2.77083,3.47917,3.5625,3.47917,3.33333
2.95833,3.64583,3.58333,3.0625,2.97917
2.77083,3.5,3.91667,3.45833,2.85417
2.60417,3.75,3.33333,3.64583,3.02083
2.375,4.125,3.66667,3.9375,3.22958
3.20833,3.77083,3.5625,3.5,3.0625
3.08625,3.47917,3.41667,3.54354,2.97917
2.8125,3.45833,3.41667,3.22917,3.14875
2.4375,4,4.1875,3.1875,3.375
2.85417,3.875,3.79167,3.8125,3.3125
3.0625,3.625,3.64583,3.22917,3.41667
2.45833,3.20833,3.20833,3.97917,3.72917
2.5,3.04167,3.8125,3.29167,3.22917
2.02083,3.875,3.875,3.25,3.25
2.3125,3.79167,3.3125,3.66667,3.60417
2.9375,3.41667,3.58333,3.85417,2.60417
2.72917,3.66667,3.41667,3.70833,3.04167
2.35417,3.5625,3.54167,3.45833,3.14583
2.77375,3.54167,3.1875,3.33521,2.875
3.60417,3.125,3.39583,3.25,2.6875
2.83333,3.20083,3.40375,3.44229,3.40208
2.52083,3.40125,3.39583,3.5,3.25
2.625,3.8125,3.52083,3.1875,3.27083
2.99875,4.125,4.45833,3.10417,2.80771
3.64583,2.61896,3.47917,3.41667,2.875
2.8125,2.66667,3.20833,3.0625,3.39583
2.58333,3.625,3.47917,3.27083,3.35417
3.1875,3.1875,3.89583,4.16667,3.47917
2.8125,3.02083,4.02083,3.875,3.20833
1.89583,3.35417,3.1875,3.33333,3.08333
2.60417,3.41667,4.04167,3.35417,3.22917
2.375,3.52083,3.25,3.35417,3.64583
2.54167,3.85417,4,3.16667,3.58333
2.375,3.375,3.85417,3.5,3.39583
2.89583,2.52083,3.49375,4.0625,4.22917
3.20833,3.26625,3.54167,3.54167,3.16667
2.95833,3.70833,4.25,2.97917,3.39583
2.125,3.66667,3.4375,3.5,3.5
2.95833,3.5,3.66667,3.64583,3.52083
2.83333,3.3125,3.5,3.625,3.5625
2.72917,3.875,3.85417,3.0625,3.33333
2.60417,3.14583,3.27083,3.5,3.16667
2.58333,3.64583,3.64583,3.16667,2.9375
2.64583,3.375,3.79167,3.72917,3.29167
3.75,3.29167,3.89583,4,3.10417
3,3.3125,4.0625,4.125,2.47917
2.41667,3.91667,3.25,3.64583,3.35417
2.77083,3.75,3.33333,3.02083,3.5
3.20833,3.45833,3.64583,2.97917,3.27083
2.0625,3.47604,3.1875,3.5625,3.02083
2.6875,3.45833,3.79167,3.4375,2.97917
1.91667,3.25,3.64583,3.41667,3.58333
4.35417,3.0625,4.22917,3.77083,2.85417
3.8125,3.41667,3.25,2.8125,2.79167
3.6875,2.95833,3.5625,3.75,2.70833
3.14583,2.9375,3.79167,2.95833,2.72917
3.0625,3.89583,3.89583,3.375,2.66667
2.29167,3.57771,3.52083,3.79167,3.45833
3.22917,3.09813,3.52083,3.4375,2.77083
3.5625,2.77083,3.54167,2.9375,2.625
2.625,3.25,2.91667,2.97917,2.8125
3.25,3.89583,3.64583,3.41667,3.16667
2.3125,3.54167,3.58333,3.14583,3.45833
2.77083,4.0625,3.85417,3.72917,3.70833
2.60333,3.625,2.91667,2.95833,2.95833
3.20833,3.52083,4.08333,3.89583,3.16667
2.39583,3.6875,4.35417,3.60417,2.9375
2.70833,3.97917,3.58333,2.77083,3.02083
3.625,2.33333,2.9375,3.375,3.20833
2.9375,3.60417,3.9375,3.27083,3.35417
3.54167,3.16667,3.4375,3.375,3.45833
2.04167,3.39583,3.16667,2.85417,3.9375
2.16667,3.91667,4,3.75,3.41667
1.83333,3.89583,3.5625,3.25,3.29167
2.39583,3.5625,3.45833,3.70833,3.33333
2.08333,3.54167,3.3125,2.83333,3.47917
2.54167,3.54167,3.83333,3.6875,3.54167
2.33333,2.77083,3.4375,2.3125,3.5625
2.39583,3.54167,3.75,3.47917,3.41667
2.9375,3.60417,3.83333,3.625,3.1875
3.02083,3.27083,3.16667,2.89583,3.125
2.02083,3.8125,3.8125,3.47917,3.54167
2.79167,3.9375,3.3125,3.33333,3.1875
2.47917,3.60417,3.41667,3.54167,3.33333
2.60417,4.22917,4.29167,3.45833,3.25
2.83333,3.39583,2.95833,2.97917,3.45833
2.85417,3.29167,3.89583,2.54167,2.54167
3.33333,3.77083,3.41667,3.54167,3.1875
2.66667,3.39583,3.25,2.66667,2.70833
2.47917,3.52083,3.56167,3.8125,3.16667
3.14583,3.60417,3.22917,3.125,3.5625
2.9375,3.1875,3.60417,3.58333,3
2.60312,3.29167,3.24146,3.04167,3.14583
3.20833,2.91938,2.79104,2.9375,2.875
3.10417,3.25,3.91667,2.8125,3.0625
3.33333,3.85417,3.72917,3.4375,2.27083
3.6875,2.74417,4.10417,2.79167,2.91667
2.54167,3.64604,3.625,3.5,3.22917
2.60417,3.47917,3.18812,3.35417,3.60417
2.64583,3.3125,3.25,3.35417,2.52083
4.08333,3.4375,4.08333,2.52083,3.375
2.20833,4.16667,3.54167,3.64875,3.35417
2.91667,3.375,3.77083,3.5625,2.9375
2.58333,3.97917,3.66667,3.1875,2.25
3.02083,3.5,3.10417,3.89583,3.83333
2.16667,3.1875,3.29167,3.375,3.35417
2.5,3.52083,3.1875,3.5,3.83333
2.39583,3.6875,3.5,3.47917,2.85417
3.10417,2.9375,3.89583,3.97917,3.52521
3.0625,3.97917,4.08333,3.3125,3.02083
2.20833,3.89583,3.41667,2.89583,3.29167
3.1875,3.10417,3.01875,3.69854,3.46833
2.8125,3.60417,3.66667,3.89583,3.625
2.64583,3.70833,3.9375,3.83333,3.9375
2.45833,3.8125,3.72917,3.16667,3.41667
2.58333,3.35417,3.6875,3.39583,2.91667
2.4375,3.83333,3.70833,3.75,3.4375
2.91667,3.64583,3.375,3.375,3.54167
2.89583,3.47917,3.375,3.6875,3
2.70833,3.79167,3.60417,3.75,3.20833
2.29167,3.79167,3.97917,3.25,3.77083
3.125,3.5625,3.52083,3.45833,2.77083
2.5,3.6875,3.35417,3.6875,3.8125
3.45833,3.47562,3.27083,3.1875,3.14583
2.91667,3.35417,3.52083,3.60417,3.625
2.20833,3.70833,3.8125,3.5,3.02083
2.70833,3.45833,3.6875,3,3.27083
3,3.8125,4.14583,3.89583,3.39583
2.54167,3.10417,3.83333,3.83333,3.3125
3.47917,3.54167,3.625,3.64583,3.0625
3.39583,3.75,4.04167,4.0625,3.39583
1.72917,4.0625,3.85417,3.4375,4.29167
3.27083,2.875,3.45833,3.35417,2.79167
3.27083,3.60417,3.10417,3.27083,3.29167
3.47917,3.375,4.20833,3.70833,3.5
2.25,3.66667,3.6875,3.8125,3.85417
2.97917,3.39583,3.41667,3.125,2.4375
2.79167,3.89583,4.20833,3.3125,3.22917
2.79167,3.8125,3.625,3.60417,3.22917
3.3125,3.4375,3.3125,3.35417,2.89583
3.54167,3.375,3.66667,3.25,3.08333
2.375,3.77083,3.79167,3.39583,3.0625
3.16667,3.52083,3.85417,3.16667,3.39583
2.75,3.85417,4.3125,3.54167,2.75
2.625,3.04167,3.72917,3.41667,3.08333
2.33333,3.08333,4,3.58771,4.08333
2.20833,3.58333,3.58333,4.14583,2.9375
2.39583,3.41667,3.5625,3.60417,3.375
2.47917,3.64583,3.60417,3.64583,3.70833
3.29167,3.35417,3.8125,3.04167,3.0625
2.5,3.54167,4.08333,3.83333,3.33333
2.66667,3.5,3.5625,3.3125,3.125
2.875,2.95833,3.375,3.52083,3.35417
1.9375,3.02083,3.16667,3.29167,2.8125
2.35417,3.6175,3.375,3.875,3.45833
2.83333,3.52083,3.39583,2.91667,3.1875
3.02083,3.77083,4.02083,3.39583,3.10417
2.29167,3.72917,3.79167,3.79167,3.41667
2.22917,4.125,4.45833,4.14583,3.8125
3.22917,3.58333,3.33333,3.02083,3.0625
3.22917,3.4375,3.39583,3.29167,3.1875
2.875,3.5625,3.47917,3.31542,3.20833
1.6875,4.25,3.9375,3.625,3.64583
2.58333,3.33333,3.5625,3.5,3.41667
2.4375,3.70833,3.16667,3.52083,3.14583
2.52083,3.6875,3.60417,3.39583,3.95833
2.79042,2.5,3.97917,3.85417,3.64583
3.95833,2.79167,4.08333,3.41667,3.375
3.1875,3.22917,3.47917,4.0625,3.35417
3.125,2.79167,3.41667,3.29167,3.375
3.5625,2.35417,3.25,3.25,2.79167
3.64583,3.70833,3.54167,4.02083,2.29167
3.65437,3.97917,3.60208,3.58333,2.79167
2.02083,3.72917,3.4375,3.66667,3.70833
2.72917,3.66667,2.9375,3.52083,3.0625
2.1875,3.22917,3.35417,3.20479,3.60417
2.58333,3.64583,3.70833,3.27083,3.9375
2.64583,3.97917,4.0625,3.10417,3.25
2.79167,3.58333,3.91667,3.75,2.35417
3.07125,3.33333,3.79167,4.27083,3.83333
3.47917,2.6875,3.33333,2.875,2.64583
3.125,3.41667,4.08333,3.39583,3.14583
2.45833,3.52083,3.66667,3.47917,3.5625
2.8125,2.95833,3.35417,3.625,3
2.16667,4.27083,3.16667,3.625,3.1875
2.70833,3.58333,3.27083,2.9375,2.9375
3.14583,3.5625,3.5625,3.45833,3.4375
2.75,4.10417,3.875,3.9375,4.29167
2.97917,3.33333,3.4375,3.375,2.79167
3.5,3.47917,3.83333,3.54167,2.89583
3.29167,3.625,3.64583,3.66667,2.72917
2.83333,3.39583,3.97917,3.6875,4.125
2.20833,4.08333,3.85417,4.20646,3.70833
3.5,3.29167,3.5625,3.0625,3.5625
2.8125,3.66021,3.5625,4.16667,3.14583
3.27083,3.52083,3.1875,3.08333,3
2.97917,3.35417,3.33333,3.64583,3.14583
2.97833,3.22917,4.22917,3.04167,3.25
2.58333,3.25,2.875,3.27083,3.72917
3.14583,3.45833,3.29167,3.41667,3.0625
2.85417,3.79167,3.64583,3.52521,3.29167
2.9375,3.59813,3.5625,3.50438,3.41667
2.64583,4.16667,4.02083,3.95833,3.25
1.97917,4.16667,3.27083,4.16667,3.4375
3.27083,3.9375,3.625,3.66667,3.45833
2.72917,3.20833,3.91667,3.58333,3.66667
3.02083,3.64583,3.875,3.83333,3.14583
2.91667,3.25,3.75,3.1875,3.5
3.35417,3.08333,3.83333,3.60417,2.66667
2.64583,3.39229,3.44979,3.625,3.54167
3.29167,3.64583,3.41667,3.1875,2.5625
2.83333,3.52083,3.9375,3.22917,2.89583
2.47917,3.8125,4,3.72917,3.27083
2.91667,3.39583,3.22833,3.5,2.5
3.16667,3.0625,3.92229,3.27083,2.66667
3.52083,3.91667,3.91667,3.44708,3.02083
3,3.02083,3.75,3.8125,2.72917
3.10417,3.4375,2.88458,3.1875,3.14583
2.1875,3.77083,3.95833,3.41667,3.02083
2.47917,3.9375,3.98188,3.5625,3.41667
3,3.625,3.79167,3.375,2.89583
2.04167,3.0625,3.5,3.58333,3.97917
3.83333,3.70833,3.58333,3.00708,2.3125
3.04042,3.0625,2.97917,3.3125,3.77083
3.16667,3.3125,3.25,3.79167,3.04167
2.25,3.41667,4.05771,3.77083,4.0625
3.77083,3.31521,3.66667,3.54167,3.14583
3.14583,3.66667,3.25,3.58333,3.72917
2.4375,3.375,3.375,3.1875,2.9375
3.54167,3.5,3.72917,2.35417,2.72917
2.47917,3.375,4.08333,3.625,2.47917
3.04104,3.14583,2.97917,3.22917,2.77083
3.35417,3.70833,3.39583,3.5625,3.08333
2.9375,3.64583,3.98542,3.77083,3.08333
2.81146,4.08333,3.85417,3.6875,3.74125
3.91667,3.16667,3.27083,3.70833,3.4375
2.83333,3.54167,3.27083,3.375,3.1875
2.72917,4.02083,4.10417,3.83333,3.27083
3.33333,3.5,3.58333,3.625,3.35417
2.0625,3.64583,3.625,3.4375,3.1875
2.52083,3.58333,3.95833,3.3125,3.1875
3.04167,4.125,4.08333,2.875,3
2.52083,3.54167,3.83333,3.54167,3.54167
2.33333,3.3125,3.25,3.27083,3.39583
2.58333,3.64583,3.20833,4.02083,3.4375
2.60417,3.25,2.91667,3.41667,3.27083
2.4375,3.875,4,3.6875,2.95833
2.70833,3.60417,3.16667,3.54167,3.02083
1.95833,4.29167,4.3125,2.72917,2.79167
3.0625,3.22917,3.41667,3.39583,2.79167
3.60417,2.85417,3.91667,3.6875,1.8125
2.9375,3.54167,3.72917,3.08333,2.125
2.37104,3.33854,2.66667,3.59729,3.5625
3.35417,3.27083,3.60417,3.33333,3.16667
2.6875,3.66667,3.37292,3.16667,2.4375
2.9375,3.8125,4.0625,3.29167,2.75
3.47917,3.89583,3.10417,3.25,3.3125
4.10417,3.52083,4.40708,3.60438,2.33333
2.60417,3.83333,4.125,3.45833,2.79167
2.29167,3.22917,3.72917,3.70833,3.6875
2.3125,3.6875,3.29167,2.8125,3.5625
4.375,3.54167,3.79167,2.97917,2.58333
3.27083,3.14583,3.35417,3.83333,2.83333
2.52083,3.625,3.6875,4,2.8125
1.9375,3.8125,3.95833,3.89583,3.79167
2.6875,3.41667,4.525,3.91667,3.47917
3.5,3.1875,3.875,4.12563,3.02083
2.4375,3.85417,3.6875,4.02083,3.52083
2,3.54167,4.14583,3.625,3.0625
2.625,3.64583,3.77083,3.52083,3.83333
2.83333,3.33333,3.60417,3.33333,3.41667
3.10417,3.3125,3.75,3.52083,3.25
2.89583,3.125,3.875,3.6875,3.79167
2.5625,3.5,3.14583,3.3125,3.08333
3.0625,3.4375,3.32854,3.04167,3.125
3.08333,3.39583,4,3.22917,3.10417
3.52083,2.41667,3.0625,3.5625,3
2.08333,3.66667,3.58333,3.45833,3.39583
2.54167,3.5625,3.14583,3.45833,2.89583
