Subject,Gender,Region,Education,DesireToKill,Disgustingness,Frighteningness
96,Male,North,high,10,Low,Low
97,Female,North,,10,High,High
97,Female,North,,8.5,High,Low
97,Female,North,,10,Low,High
97,Female,North,,8.5,Low,Low
98,Female,North,some,10,High,High
98,Female,North,some,8.5,High,Low
98,Female,North,some,10,Low,High
98,Female,North,some,1.5,Low,Low
99,Female,North,some,10,High,High
99,Female,North,some,10,High,Low
99,Female,North,some,10,Low,High
99,Female,North,some,9,Low,Low
100,Female,Europe,some,3,High,High
100,Female,Europe,some,2,High,Low
100,Female,Europe,some,5.5,Low,High
100,Female,Europe,some,5.5,Low,Low
