Subject,Gender,Region,Education,DesireToKill,InsectType
34,Male,Europe,college,6,"Hi D, Hi F"
35,Male,North,some,3,"Lo D, Lo F"
35,Male,North,some,2,"Lo D, Hi F"
35,Male,North,some,8,"Hi D, Lo F"
35,Male,North,some,4,"Hi D, Hi F"
36,Male,North,some,6,"Lo D, Lo F"
36,Male,North,some,10,"Lo D, Hi F"
36,Male,North,some,2,"Hi D, Lo F"
36,Male,North,some,4.5,"Hi D, Hi F"
37,Female,North,some,4,"Lo D, Lo F"
37,Female,North,some,10,"Lo D, Hi F"
37,Female,North,some,7,"Hi D, Lo F"
37,Female,North,some,10,"Hi D, Hi F"
38,Female,North,some,4.5,"Lo D, Lo F"
38,Female,North,some,7,"Lo D, Hi F"
38,Female,North,some,10,"Hi D, Lo F"
38,Female,North,some,10,"Hi D, Hi F"
39,Male,North,some,7,"Lo D, Lo F"
39,Male,North,some,7,"Lo D, Hi F"
39,Male,North,some,10,"Hi D, Lo F"
39,Male,North,some,9,"Hi D, Hi F"
40,,,,8,"Lo D, Lo F"
40,,,,8.5,"Lo D, Hi F"
40,,,,8,"Hi D, Lo F"
40,,,,9.5,"Hi D, Hi F"
41,Female,North,some,5,"Lo D, Lo F"
41,Female,North,some,7.5,"Lo D, Hi F"
41,Female,North,some,7.5,"Hi D, Lo F"
41,Female,North,some,7.5,"Hi D, Hi F"
42,Female,North,high,5,"Lo D, Lo F"
42,Female,North,high,8.5,"Lo D, Hi F"
42,Female,North,high,,"Hi D, Lo F"
42,Female,North,high,9.5,"Hi D, Hi F"
43,Female,North,some,2,"Lo D, Lo F"
43,Female,North,some,2,"Lo D, Hi F"
43,Female,North,some,0,"Hi D, Lo F"
43,Female,North,some,5.5,"Hi D, Hi F"
45,Male,North,partial,7.5,"Lo D, Lo F"
45,Male,North,partial,7,"Lo D, Hi F"
45,Male,North,partial,6.5,"Hi D, Lo F"
45,Male,North,partial,8,"Hi D, Hi F"
46,Female,North,less,3.5,"Lo D, Lo F"
46,Female,North,less,4,"Lo D, Hi F"
46,Female,North,less,1,"Hi D, Lo F"
46,Female,North,less,10,"Hi D, Hi F"
47,Female,North,advance,5,"Lo D, Lo F"
47,Female,North,advance,7.5,"Lo D, Hi F"
47,Female,North,advance,0.5,"Hi D, Lo F"
47,Female,North,advance,2.5,"Hi D, Hi F"
48,Male,North,some,2,"Lo D, Lo F"
48,Male,North,some,3.5,"Lo D, Hi F"
48,Male,North,some,9.5,"Hi D, Lo F"
48,Male,North,some,5.5,"Hi D, Hi F"
49,Male,North,some,4,"Lo D, Lo F"
49,Male,North,some,8,"Lo D, Hi F"
49,Male,North,some,1.5,"Hi D, Lo F"
49,Male,North,some,9.5,"Hi D, Hi F"
50,Female,North,some,5,"Lo D, Lo F"
50,Female,North,some,6,"Lo D, Hi F"
50,Female,North,some,4.5,"Hi D, Lo F"
50,Female,North,some,3.5,"Hi D, Hi F"
51,Female,North,some,5.5,"Lo D, Lo F"
51,Female,North,some,2.5,"Lo D, Hi F"
51,Female,North,some,8,"Hi D, Lo F"
51,Female,North,some,9,"Hi D, Hi F"
52,Female,North,less,10,"Lo D, Lo F"
52,Female,North,less,10,"Lo D, Hi F"
52,Female,North,less,10,"Hi D, Lo F"
52,Female,North,less,10,"Hi D, Hi F"
53,Female,North,some,7,"Lo D, Lo F"
53,Female,North,some,8.5,"Lo D, Hi F"
53,Female,North,some,4,"Hi D, Lo F"
53,Female,North,some,9,"Hi D, Hi F"
54,Female,Other,some,5.5,"Lo D, Lo F"
54,Female,Other,some,10,"Lo D, Hi F"
54,Female,Other,some,6,"Hi D, Lo F"
54,Female,Other,some,10,"Hi D, Hi F"
56,Female,North,some,10,"Lo D, Lo F"
56,Female,North,some,10,"Lo D, Hi F"
56,Female,North,some,10,"Hi D, Lo F"
56,Female,North,some,10,"Hi D, Hi F"
57,Female,South,some,9.5,"Lo D, Lo F"
57,Female,South,some,10,"Lo D, Hi F"
57,Female,South,some,10,"Hi D, Lo F"
57,Female,South,some,10,"Hi D, Hi F"
58,Male,North,some,6,"Lo D, Lo F"
58,Male,North,some,4.5,"Lo D, Hi F"
58,Male,North,some,7.5,"Hi D, Lo F"
58,Male,North,some,6,"Hi D, Hi F"
59,Female,North,less,7.5,"Lo D, Lo F"
59,Female,North,less,6.5,"Lo D, Hi F"
59,Female,North,less,10,"Hi D, Lo F"
59,Female,North,less,8.5,"Hi D, Hi F"
60,Male,North,less,3.5,"Lo D, Lo F"
60,Male,North,less,7.5,"Lo D, Hi F"
60,Male,North,less,8,"Hi D, Lo F"
60,Male,North,less,8,"Hi D, Hi F"
61,Female,North,college,2.5,"Lo D, Lo F"
61,Female,North,college,7.5,"Lo D, Hi F"
61,Female,North,college,5,"Hi D, Lo F"
61,Female,North,college,7.5,"Hi D, Hi F"
62,Male,North,less,3.5,"Lo D, Lo F"
62,Male,North,less,9.5,"Lo D, Hi F"
62,Male,North,less,3.5,"Hi D, Lo F"
62,Male,North,less,8,"Hi D, Hi F"
64,Female,Europe,some,8.5,"Lo D, Lo F"
64,Female,Europe,some,6,"Lo D, Hi F"
64,Female,Europe,some,,"Hi D, Lo F"
64,Female,Europe,some,5,"Hi D, Hi F"
65,Female,North,less,3,"Lo D, Lo F"
65,Female,North,less,8.5,"Lo D, Hi F"
65,Female,North,less,10,"Hi D, Lo F"
65,Female,North,less,2.5,"Hi D, Hi F"
66,Male,North,less,6,"Lo D, Lo F"
66,Male,North,less,10,"Lo D, Hi F"
66,Male,North,less,3,"Hi D, Lo F"
66,Male,North,less,8.5,"Hi D, Hi F"
67,Male,North,high,5.5,"Lo D, Lo F"
67,Male,North,high,8,"Lo D, Hi F"
67,Male,North,high,4.5,"Hi D, Lo F"
67,Male,North,high,9.5,"Hi D, Hi F"
68,Male,North,high,3,"Lo D, Lo F"
68,Male,North,high,8,"Lo D, Hi F"
68,Male,North,high,10,"Hi D, Lo F"
68,Male,North,high,7,"Hi D, Hi F"
69,Male,North,college,2,"Lo D, Lo F"
69,Male,North,college,8.5,"Lo D, Hi F"
69,Male,North,college,4,"Hi D, Lo F"
69,Male,North,college,6,"Hi D, Hi F"
70,Female,North,less,4,"Lo D, Lo F"
70,Female,North,less,9,"Lo D, Hi F"
70,Female,North,less,2.5,"Hi D, Lo F"
70,Female,North,less,10,"Hi D, Hi F"
71,Female,North,less,9,"Lo D, Lo F"
71,Female,North,less,10,"Lo D, Hi F"
71,Female,North,less,8.5,"Hi D, Lo F"
71,Female,North,less,10,"Hi D, Hi F"
72,Female,North,some,10,"Lo D, Lo F"
72,Female,North,some,10,"Lo D, Hi F"
72,Female,North,some,10,"Hi D, Lo F"
72,Female,North,some,10,"Hi D, Hi F"
73,Female,North,some,5.5,"Lo D, Lo F"
73,Female,North,some,6,"Lo D, Hi F"
73,Female,North,some,1,"Hi D, Lo F"
73,Female,North,some,5.5,"Hi D, Hi F"
74,Male,North,less,6,"Lo D, Lo F"
74,Male,North,less,8.5,"Lo D, Hi F"
74,Male,North,less,8.5,"Hi D, Lo F"
74,Male,North,less,9,"Hi D, Hi F"
76,Female,North,some,9,"Lo D, Lo F"
76,Female,North,some,9,"Lo D, Hi F"
76,Female,North,some,9,"Hi D, Lo F"
76,Female,North,some,9,"Hi D, Hi F"
77,Female,North,some,6,"Lo D, Lo F"
77,Female,North,some,6,"Lo D, Hi F"
77,Female,North,some,7.5,"Hi D, Lo F"
77,Female,North,some,6,"Hi D, Hi F"
78,Female,North,less,5,"Lo D, Lo F"
78,Female,North,less,6.5,"Lo D, Hi F"
78,Female,North,less,0.5,"Hi D, Lo F"
78,Female,North,less,5.5,"Hi D, Hi F"
79,Male,North,less,6,"Lo D, Lo F"
79,Male,North,less,8,"Lo D, Hi F"
79,Male,North,less,9,"Hi D, Lo F"
79,Male,North,less,7,"Hi D, Hi F"
80,Female,North,less,1.5,"Lo D, Lo F"
80,Female,North,less,,"Lo D, Hi F"
80,Female,North,less,9,"Hi D, Lo F"
80,Female,North,less,9.5,"Hi D, Hi F"
81,Male,North,high,5.5,"Lo D, Lo F"
81,Male,North,high,4,"Lo D, Hi F"
81,Male,North,high,10,"Hi D, Lo F"
81,Male,North,high,5.5,"Hi D, Hi F"
82,Female,North,high,9.5,"Lo D, Lo F"
82,Female,North,high,9.5,"Lo D, Hi F"
82,Female,North,high,9.5,"Hi D, Lo F"
82,Female,North,high,8.5,"Hi D, Hi F"
83,Female,North,high,8,"Lo D, Lo F"
83,Female,North,high,8,"Lo D, Hi F"
83,Female,North,high,8.5,"Hi D, Lo F"
83,Female,North,high,10,"Hi D, Hi F"
84,Female,North,some,0,"Lo D, Lo F"
84,Female,North,some,5,"Lo D, Hi F"
84,Female,North,some,0,"Hi D, Lo F"
84,Female,North,some,5,"Hi D, Hi F"
85,Female,North,high,3,"Lo D, Lo F"
85,Female,North,high,3,"Lo D, Hi F"
85,Female,North,high,0.5,"Hi D, Lo F"
85,Female,North,high,7,"Hi D, Hi F"
86,Male,North,less,7,"Lo D, Lo F"
86,Male,North,less,7,"Lo D, Hi F"
86,Male,North,less,8.5,"Hi D, Lo F"
86,Male,North,less,7.5,"Hi D, Hi F"
87,Female,North,partial,5,"Lo D, Lo F"
87,Female,North,partial,4,"Lo D, Hi F"
87,Female,North,partial,3.5,"Hi D, Lo F"
87,Female,North,partial,5.5,"Hi D, Hi F"
88,Female,North,high,10,"Lo D, Lo F"
88,Female,North,high,10,"Lo D, Hi F"
88,Female,North,high,10,"Hi D, Lo F"
88,Female,North,high,10,"Hi D, Hi F"
89,Male,North,less,7.5,"Lo D, Lo F"
89,Male,North,less,8,"Lo D, Hi F"
89,Male,North,less,9.5,"Hi D, Lo F"
89,Male,North,less,10,"Hi D, Hi F"
90,Male,North,less,6,"Lo D, Lo F"
90,Male,North,less,8,"Lo D, Hi F"
90,Male,North,less,4.5,"Hi D, Lo F"
90,Male,North,less,6.5,"Hi D, Hi F"
91,Female,Other,some,7,"Lo D, Lo F"
91,Female,Other,some,7.5,"Lo D, Hi F"
91,Female,Other,some,8.5,"Hi D, Lo F"
91,Female,Other,some,8,"Hi D, Hi F"
92,Female,Europe,less,6.5,"Lo D, Lo F"
92,Female,Europe,less,9.5,"Lo D, Hi F"
92,Female,Europe,less,4,"Hi D, Lo F"
92,Female,Europe,less,8.5,"Hi D, Hi F"
93,Female,North,less,6.5,"Lo D, Lo F"
93,Female,North,less,10,"Lo D, Hi F"
93,Female,North,less,10,"Hi D, Lo F"
93,Female,North,less,10,"Hi D, Hi F"
95,Female,North,less,3,"Lo D, Lo F"
95,Female,North,less,4,"Lo D, Hi F"
95,Female,North,less,2,"Hi D, Lo F"
95,Female,North,less,2,"Hi D, Hi F"
96,Male,North,high,10,"Lo D, Lo F"
96,Male,North,high,10,"Lo D, Hi F"
96,Male,North,high,10,"Hi D, Lo F"
96,Male,North,high,10,"Hi D, Hi F"
97,Female,North,,8.5,"Lo D, Lo F"
97,Female,North,,10,"Lo D, Hi F"
97,Female,North,,8.5,"Hi D, Lo F"
97,Female,North,,10,"Hi D, Hi F"
98,Female,North,some,1.5,"Lo D, Lo F"
98,Female,North,some,10,"Lo D, Hi F"
98,Female,North,some,8.5,"Hi D, Lo F"
98,Female,North,some,10,"Hi D, Hi F"
99,Female,North,some,9,"Lo D, Lo F"
99,Female,North,some,10,"Lo D, Hi F"
99,Female,North,some,10,"Hi D, Lo F"
99,Female,North,some,10,"Hi D, Hi F"
100,Female,Europe,some,5.5,"Lo D, Lo F"
100,Female,Europe,some,5.5,"Lo D, Hi F"
100,Female,Europe,some,2,"Hi D, Lo F"
100,Female,Europe,some,3,"Hi D, Hi F"
