Scores,Time,Group,Subject
6.023507967893809,June,Control,13
4.573745686469774,June,Control,14
7.5078429507780005,June,Control,15
5.726962541870895,June,Control,16
4.347340890749048,June,Control,17
6.1319794458091295,June,Control,18
5.539512686693366,June,Control,19
5.964392325050896,June,Control,20
1.9364833393752647,June,Control,21
6.821105615470206,June,Control,22
5.652630552204535,June,Control,23
5.6645295429323985,June,Control,24
5.069904309123513,June,Control,25
6.267368735752411,June,Control,26
6.484919841909897,June,Control,27
5.770835848826804,June,Control,28
6.8919861934464075,June,Control,29
5.579842313008629,August,Meditation,30
5.100035419303477,August,Meditation,31
4.472149441318094,August,Meditation,32
4.915281788739212,August,Meditation,33
6.316593926547842,August,Meditation,34
5.418052948173335,August,Meditation,35
5.1552339857453555,August,Meditation,36
6.028288145297394,August,Meditation,37
4.431011216519868,August,Meditation,38
4.9881186908731845,August,Meditation,39
5.7912053597430635,August,Meditation,40
6.066533696353573,August,Meditation,41
6.003591759111203,August,Meditation,42
5.7852956847818575,August,Meditation,43
5.98428811274975,August,Meditation,44
6.863481512426146,August,Meditation,45
4.718894716374608,August,Meditation,46
5.031982333662515,August,Meditation,47
6.724574355126174,August,Meditation,48
4.218891724855958,August,Meditation,49
6.375475504274324,August,Meditation,50
3.789284675970471,August,Meditation,51
5.049234896863726,August,Meditation,52
6.249163805919065,August,Meditation,53
5.296067133898749,August,Meditation,54
5.317824588334266,August,Meditation,55
6.180656004381456,August,Meditation,56
3.681501009608386,August,Meditation,57
5.547071635325711,August,Meditation,58
5.894844209327204,August,Meditation,59
5.551567945619153,January,Meditation,30
5.182293352002983,January,Meditation,31
5.117116003550666,January,Meditation,32
6.236257604340917,January,Meditation,33
4.096987225886762,January,Meditation,34
6.193710599138665,January,Meditation,35
5.3206759964245025,January,Meditation,36
5.500983707033919,January,Meditation,37
6.494103287678764,January,Meditation,38
6.4786296737098565,January,Meditation,39
6.039555995003897,January,Meditation,40
5.95122662929445,January,Meditation,41
6.616127233360041,January,Meditation,42
7.6935344675962005,January,Meditation,43
6.4396327631937025,January,Meditation,44
4.837971168094809,January,Meditation,45
3.71473435787989,January,Meditation,46
7.730246767465576,January,Meditation,47
4.064651125529608,January,Meditation,48
7.010383704904514,January,Meditation,49
6.597435419427874,January,Meditation,50
5.420189215952621,January,Meditation,51
6.5025622240016006,January,Meditation,52
4.9496537283448845,January,Meditation,53
6.976812450104928,January,Meditation,54
5.275663897367544,January,Meditation,55
6.500907730915604,January,Meditation,56
6.784188070722415,January,Meditation,57
5.678271591333179,January,Meditation,58
8.165768628840038,January,Meditation,59
6.896142926247595,June,Meditation,30
7.196594866664952,June,Meditation,31
5.925979109874315,June,Meditation,32
6.343304283509071,June,Meditation,33
7.7577972581070584,June,Meditation,34
5.5951662758332965,June,Meditation,35
4.27637975090707,June,Meditation,36
6.066497559566753,June,Meditation,37
5.513280647514622,June,Meditation,38
6.734197930899009,June,Meditation,39
6.936783824902751,June,Meditation,40
5.656169632063799,June,Meditation,41
6.0797961177591215,June,Meditation,42
5.483801138733459,June,Meditation,43
5.5403317000182595,June,Meditation,44
6.6259854867337555,June,Meditation,45
7.028775826538295,June,Meditation,46
6.586494348773075,June,Meditation,47
7.352478345109122,June,Meditation,48
7.388137582593309,June,Meditation,49
6.327391686037325,June,Meditation,50
5.849397076436581,June,Meditation,51
5.461847385906896,June,Meditation,52
5.160928437405207,June,Meditation,53
6.539683274031295,June,Meditation,54
6.176981018117524,June,Meditation,55
8.523691888593554,June,Meditation,56
6.522273434258829,June,Meditation,57
4.990568260077231,June,Meditation,58
7.822985952772243,June,Meditation,59
